"IntenSample" "ID" "Sample" "ProcessDate" "AcqType" "ProcessInst" "FileName" "RunDate" "MSUsed" "Operator" "MSMethod"
"28" "123" "123" "JFCF-6/T.1/F" "14/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_123" "" "" "" ""
"29" "124" "124" "JFCF-6/T.1/P-shDAXX" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_124" "" "" "" ""
"30" "125" "125" "JFCF-6/T.5K-shDAXX" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_125" "" "" "" ""
"31" "126" "126" "JFCF-6/T.1J/6G" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_126" "" "" "" ""
"32" "127" "127" "JFCF-6/T.1/P (ALT)" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_127" "" "" "" ""
"33" "128" "128" "JFCF-6/T.5K-sc2" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_128" "" "" "" ""
"34" "129" "129" "JFCF-6/T.1/P-shATRX-4" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_129" "" "" "" ""
"35" "130" "130" "JFCF-6/T.5K-shATRX-3" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_130" "" "" "" ""
"36" "131" "131" "JFCF-6/T.1J/1.3C" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_131" "" "" "" ""
"37" "132" "132" "JFCF-6/T.2H" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_132" "" "" "" ""
"38" "133" "133" "JFCF-6/T.1J/1D" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_133" "20/2/17" "ProCan 5" "" ""
"39" "134" "134" "JFCF-6/T.1J/9E" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_134" "20/2/17" "ProCan 5" "" ""
"40" "135" "135" "JFCF-6/T.1/P-shATRX-1" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_135" "20/2/17" "ProCan 5" "" ""
"41" "136" "136" "JFCF-6/T.1/P-shATRX-3" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_136" "20/2/17" "ProCan 5" "" ""
"42" "137" "137" "JFCF-6/T.5K-shATRX-4" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_137" "20/2/17" "ProCan 5" "" ""
"43" "138" "138" "JFCF-6/T.1/P-shATRX-2" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_138" "20/2/17" "ProCan 5" "" ""
"44" "139" "139" "JFCF-6/T.1/P-sc2" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_139" "20/2/17" "ProCan 5" "" ""
"45" "140" "140" "JFCF-6/T.1J/5H" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_140" "20/2/17" "ProCan 5" "" ""
"46" "141" "141" "JFCF-6/T.1J/6B" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_141" "20/2/17" "ProCan 5" "" ""
"47" "142" "142" "JFCF-6/T.1J/4D" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_142" "20/2/17" "ProCan 5" "" ""
"48" "143" "143" "JFCF-6/T.5K-shATRX-1" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_143" "20/2/17" "ProCan 5" "" ""
"49" "144" "144" "JFCF-6/T.1J/4F" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_144" "20/2/17" "ProCan 5" "" ""
"50" "145" "145" "JFCF-6/T.5K-vector" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_145" "" "" "" ""
"51" "146" "146" "JFCF-6/T.1J/1-4D" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_146" "" "" "" ""
"52" "147" "147" "JFCF-6/T.1J/1C" "15/2/17" "SWATH" "ProCan 5" " Cell_study_Sample_147" "" "" "" ""
"53" "148" "148" "GM847DM" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_148" "" "" "" ""
"54" "149" "149" "IVG-BF/LXSN post" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_149" "" "" "" ""
"55" "15" "15" "IIICF/c" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_15" "28/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"58" "152" "152" "IIICF E6E7/C4" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_152" "" "" "" ""
"59" "153" "153" "IIICF-T/B1" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_153" "" "" "" ""
"60" "154" "154" "JFCF-6/T.5K-sc1" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_154" "" "" "" ""
"61" "155" "155" "JFCF-6/T.1/R" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_155" "" "" "" ""
"62" "156" "156" "WI-38 VA13/2RA" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_156" "" "" "" ""
"63" "157" "157" "LFS-05F-24 post" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_157" "" "" "" ""
"64" "158" "158" "IIICF/c" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_158" "" "" "" ""
"65" "159" "159" "JFCF-6/T.5K" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_159" "" "" "" ""
"66" "16" "16" "JFCF-6/T.5K" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_16" "28/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"67" "160" "160" "IIICF-T/A6" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_160" "" "" "" ""
"68" "161" "161" "JFCF-6/T.1J/12E" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_161" "" "" "" ""
"69" "162" "162" "JFCF-6/T.1J/11E" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_162" "" "" "" ""
"71" "164" "164" "MeT-4A" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_164" "" "" "" ""
"72" "165" "165" "IIICF/a2" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_165" "" "" "" ""
"73" "166" "166" "IIICF-T/B3" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_166" "" "" "" ""
"74" "167" "167" "JFCF-6/T.1/C" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_167" "" "" "" ""
"75" "168" "168" "JFCF-6/T.1/D" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_168" "21/2/17" "ProCan 5" "" ""
"76" "169" "169" "JFCF-6/T.1/G" "17/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_169" "21/2/17" "ProCan 5" "" ""
"77" "170" "170" "JFCF-6/T.1/H" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_170" "21/2/17" "ProCan 5" "" ""
"78" "171" "171" "JFCF-6/T.1/L" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_171" "21/2/17" "ProCan 5" "" ""
"79" "172" "172" "JFCF-6/T.1/M" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_172" "21/2/17" "ProCan 5" "" ""
"80" "173" "173" "JFCF-6/T.1/P" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_173" "21/2/17" "ProCan 5" "" ""
"81" "174" "174" "JFCF-6/T.1/P-EV" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_174" "21/2/17" "ProCan 5" "" ""
"82" "175" "175" "JFCF-6/T.1/Q" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_175" "21/2/17" "ProCan 5" "" ""
"83" "176" "176" "JFCF-6/T.1J/11C" "22/2/17" "SWATH" "ProCan 5" " Cell_Study_Sample_176" "" "" "" ""
"97" "19" "19" "JFCF-6/T.1J/11E" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_19" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"108" "2" "2" "JFCF-6/T.1J/1-4D" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_02" "8/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"120" "21" "21" "MeT-4A" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_21" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"131" "22" "22" "IIICF/a2" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_22" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"142" "23" "23" "IIICF-T/B3" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_23" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"153" "24" "24" "JFCF-6/T.5K-shATRX-2" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_24" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"164" "25" "25" "JFCF-6/T.1/F" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_25" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"171" "256" "256" "IIICF/a2_A" "17/12/17" "SWATH" "ProCan 5" "171217_SM_PC5_S_Cell_Study_Sample_256" "" "" "" ""
"173" "258" "258" "JFCF-6/SUPT.1L_A" "17/12/17" "SWATH" "ProCan 5" "171217_SM_PC5_S_Cell_Study_Sample_258" "" "" "" ""
"175" "26" "26" "JFCF-6/T.1/P-shDAXX" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_26" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"186" "27" "27" "JFCF-6/T.5K-shDAXX" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_27" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"192" "275" "275" "JFCF-6/SUPT.1I_A" "31/12/17" "SWATH" "ProCan 5" "171231_SM_PC5_S_Cell_Study_Sample_275" "" "" "" ""
"193" "276" "276" "JFCF-6/SUPT.1G_A" "31/12/17" "SWATH" "ProCan 5" "171231_SM_PC5_S_Cell_Study_Sample_276" "" "" "" ""
"197" "28" "28" "JFCF-6/T.1J/6G" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_28" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"201" "283" "283" "IIICF/a2_B" "1/1/18" "SWATH" "ProCan 5" "180101_SM_PC5_S_Cell_Study_Sample_283" "" "" "" ""
"203" "285" "285" "JFCF-6/SUPT.1L_B" "1/1/18" "SWATH" "ProCan 5" "180101_SM_PC5_S_Cell_Study_Sample_285" "" "" "" ""
"208" "29" "29" "JFCF-6/T.1/P (ALT)" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_29" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"219" "3" "3" "JFCF-6/T.1J/1C" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_03" "8/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"220" "30" "30" "JFCF-6/T.5K-sc2" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_30" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"223" "302" "302" "JFCF-6/SUPT.1I_B" "5/1/18" "SWATH" "ProCan 5" "180105_SM_PC5_S_Cell_Study_Sample_302" "" "" "" ""
"224" "303" "303" "JFCF-6/SUPT.1G_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_repeat_303" "" "" "" ""
"231" "31" "31" "JFCF-6/T.1/P-shATRX-4" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_31" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"232" "310" "310" "IIICF/a2_C" "5/1/18" "SWATH" "ProCan 5" "180105_SM_PC5_S_Cell_Study_Sample_310" "" "" "" ""
"234" "312" "312" "JFCF-6/SUPT.1L_C" "5/1/18" "SWATH" "ProCan 5" "180105_SM_PC5_S_Cell_Study_Sample_312" "" "" "" ""
"241" "32" "32" "JFCF-6/T.1/C" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_32" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"251" "329" "329" "JFCF-6/SUPT.1I_C" "6/1/18" "SWATH" "ProCan 5" "180106_SM_PC5_S_Cell_Study_Sample_329" "" "" "" ""
"252" "33" "33" "JFCF-6/T.5K-shATRX-3" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_33" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"253" "330" "330" "JFCF-6/SUPT.1G_C" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_330" "" "" "" ""
"257" "334" "334" "JFCF-6_A" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_334" "" "" "" ""
"258" "335" "335" "WI38_A" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_335" "" "" "" ""
"259" "336" "336" "LFS05F24 pre_A" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_336" "" "" "" ""
"261" "338" "338" "IVG-BF-LXSN_A" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_338" "" "" "" ""
"263" "34" "34" "JFCF-6/T.1J/1.3C" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_34" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"264" "340" "340" "IIICF E6E7 C4 pre_A" "7/1/18" "SWATH" "ProCan 5" "180107_SM_PC5_S_Cell_Study_Sample_340" "" "" "" ""
"266" "342" "342" "GM02063_A" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_342" "" "" "" ""
"268" "344" "344" "JFCF-6_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_344" "" "" "" ""
"269" "345" "345" "WI38_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_345" "" "" "" ""
"270" "346" "346" "LFS05F24 pre_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_346" "" "" "" ""
"273" "349" "349" "IVG-BF-LXSN_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_349" "" "" "" ""
"274" "35" "35" "JFCF-6/T.2H" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_35" "6/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"277" "352" "352" "IIICF E6E7 C4 pre_B" "10/1/18" "SWATH" "ProCan 5" "180110_SM_PC5_S_Cell_Study_Sample_352" "" "" "" ""
"279" "354" "354" "GM02063_B" "10/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_354" "" "" "" ""
"281" "356" "356" "JFCF-6_C" "11/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_356" "" "" "" ""
"282" "357" "357" "WI38_C" "11/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_357" "" "" "" ""
"283" "358" "358" "LFS05F24 pre_C" "12/1/18" "SWATH" "ProCan 5" "180112_SM_PC5_S_Cell_Study_Sample_repeat_358" "" "" "" ""
"285" "36" "36" "JFCF-6/T.1J/1D" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample36" "" "" "" ""
"287" "361" "361" "IVG-BF-LXSN_C" "11/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_361" "" "" "" ""
"290" "364" "364" "IIICF E6E7 C4 pre_C" "11/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_364" "" "" "" ""
"292" "366" "366" "GM02063_C" "11/1/18" "SWATH" "ProCan 5" "180111_SM_PC5_S_Cell_Study_Sample_366" "" "" "" ""
"293" "367" "367" "IIICF-T/C3_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_367" "" "" "" ""
"294" "368" "368" "IIICF-T/C4_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_368" "" "" "" ""
"295" "369" "369" "IIICF E6 A1_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_369" "" "" "" ""
"296" "37" "37" "JFCF-6/T.1J/9E" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample37" "" "" "" ""
"297" "370" "370" "IIICF E6E7 C4 PRE_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_370" "" "" "" ""
"299" "372" "372" "IIICF E6E7 B2_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_372" "" "" "" ""
"300" "373" "373" "IIICF 402 DE/D2_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_373" "" "" "" ""
"301" "374" "374" "IIICF E6E7 C3_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_374" "" "" "" ""
"302" "375" "375" "IIICF E6 A2_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_375" "" "" "" ""
"305" "378" "378" "IIICF E6E7 A2_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_378" "" "" "" ""
"306" "379" "379" "IIICF/d2_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_379" "" "" "" ""
"307" "38" "38" "JFCF-6/T.1/P-shATRX-1" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample38" "" "" "" ""
"308" "380" "380" "IIICF E6E7 A1_A" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_380" "" "" "" ""
"311" "383" "383" "IIICF-T/C3_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_383" "" "" "" ""
"312" "384" "384" "IIICF-T/C4_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_384" "" "" "" ""
"313" "385" "385" "IIICF E6 A1_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_385" "" "" "" ""
"314" "386" "386" "IIICF E6E7 C4 PRE_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_386" "" "" "" ""
"316" "388" "388" "IIICF E6E7 B2_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_388" "" "" "" ""
"317" "389" "389" "IIICF 402 DE/D2_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_389" "" "" "" ""
"318" "39" "39" "JFCF-6/T.1/P-shATRX-3" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample39" "" "" "" ""
"319" "390" "390" "IIICF E6E7 C3_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_390" "" "" "" ""
"320" "391" "391" "IIICF E6 A2_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_391" "" "" "" ""
"323" "394" "394" "IIICF E6E7 A2_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_394" "" "" "" ""
"324" "395" "395" "IIICF/d2_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_395" "" "" "" ""
"325" "396" "396" "IIICF E6E7 A1_B" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_396" "" "" "" ""
"328" "399" "399" "IIICF-T/C3_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_399" "" "" "" ""
"329" "4" "4" "GM847DM" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_04" "8/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"330" "40" "40" "JFCF-6/T.5K-shATRX-4" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample40" "" "" "" ""
"331" "400" "400" "IIICF-T/C4_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_400" "" "" "" ""
"332" "401" "401" "IIICF E6 A1_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_401" "" "" "" ""
"334" "403" "403" "IIICF E6E7 B2_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_403" "" "" "" ""
"335" "404" "404" "IIICF 402 DE/D2_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_404" "" "" "" ""
"336" "405" "405" "IIICF E6E7 C3_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_405" "" "" "" ""
"337" "406" "406" "IIICF E6 A2_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_406" "" "" "" ""
"340" "409" "409" "IIICF E6E7 A2_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_409" "" "" "" ""
"341" "41" "41" "JFCF-6/T.1/H" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample41" "" "" "" ""
"342" "410" "410" "IIICF/d2_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_410" "" "" "" ""
"343" "411" "411" "IIICF E6E7 A1_C" "6/6/18" "SWATH" "ProCan 5" "180606_PC5_SM_S_Cell_study_sample_411" "" "" "" ""
"346" "42" "42" "JFCF-6/T.1/P-shATRX-2" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample42" "" "" "" ""
"347" "43" "43" "JFCF-6/T.1/P-sc2" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample43" "" "" "" ""
"348" "44" "44" "JFCF-6/T.1J/5H" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample44" "" "" "" ""
"349" "45" "45" "JFCF-6/T.1J/6B" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample45" "" "" "" ""
"350" "46" "46" "JFCF-6/T.1J/4D" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample46" "" "" "" ""
"351" "47" "47" "JFCF-6/T.5K-shATRX-1" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample47" "" "" "" ""
"352" "48" "48" "JFCF-6/T.1J/4F" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample48" "" "" "" ""
"353" "49" "49" "JFCF-6/T.1/D" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample49" "" "" "" ""
"354" "5" "5" "IVG-BF/LXSN post" "19/1/17" "SWATH" "ProCan 2" " SWATH_Sample_05" "13/12/16" "ProCan 2" "SM" "90 Min IDA_06"
"355" "50" "50" "JFCF-6/T.1/G" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample50" "" "" "" ""
"356" "51" "51" "JFCF-6/T.1/L" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample51" "" "" "" ""
"357" "52" "52" "JFCF-6/T.1/M" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample52" "" "" "" ""
"358" "53" "53" "JFCF-6/T.1/P" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample53" "" "" "" ""
"359" "54" "54" "JFCF-6/T.1/Q" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample54" "" "" "" ""
"360" "55" "55" "JFCF-6/T.1/P-EV" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample55" "" "" "" ""
"361" "56" "56" "WI-38 VA13/2RA" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample56" "" "" "" ""
"362" "57" "57" "LFS-05F-24 post" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample57" "17/1/17" "ProCan 2" "SM" "90 Min IDA_06"
"363" "58" "58" "IIICF-T/A6" "1/2/17" "SWATH" "ProCan 5" " Cell Study_Sample58" "17/1/17" "ProCan 2" "SM" "90 Min IDA_06"
